step,junction_id,active_vehicles,avg_speed_kmh,avg_waiting_time_s,max_waiting_time_s,queue_length_m,halting_vehicles,previous_queue_m,queue_delta,signal_phase,time_of_day_s,future_queue_5min_m,will_congest_5min,run_id
24.0,J2,13,43.4,0.0,0.0,0.0,0,0.0,0.0,0,24.0,45.0,1,0
24.0,J3,13,43.4,0.0,0.0,0.0,0,0.0,0.0,0,24.0,22.5,0,0
24.0,J1,13,43.4,0.0,0.0,0.0,0,0.0,0.0,0,24.0,37.5,1,0
25.0,J2,13,42.95,0.0,0.0,0.0,0,0.0,0.0,0,25.0,52.5,1,0
25.0,J3,13,42.95,0.0,0.0,0.0,0,0.0,0.0,0,25.0,30.0,0,0
25.0,J1,13,42.95,0.0,0.0,0.0,0,0.0,0.0,0,25.0,37.5,1,0
26.0,J2,13,43.17,0.0,0.0,0.0,0,0.0,0.0,0,26.0,52.5,1,0
26.0,J3,13,43.17,0.0,0.0,0.0,0,0.0,0.0,0,26.0,30.0,0,0
26.0,J1,13,43.17,0.0,0.0,0.0,0,0.0,0.0,0,26.0,37.5,1,0
27.0,J2,13,43.52,0.0,0.0,0.0,0,0.0,0.0,0,27.0,52.5,1,0
27.0,J3,13,43.52,0.0,0.0,0.0,0,0.0,0.0,0,27.0,30.0,0,0
27.0,J1,13,43.52,0.0,0.0,0.0,0,0.0,0.0,0,27.0,37.5,1,0
28.0,J2,13,42.9,0.0,0.0,0.0,0,0.0,0.0,0,28.0,52.5,1,0
28.0,J3,13,42.9,0.0,0.0,0.0,0,0.0,0.0,0,28.0,30.0,0,0
28.0,J1,13,42.9,0.0,0.0,0.0,0,0.0,0.0,0,28.0,45.0,1,0
29.0,J2,13,42.97,0.0,0.0,0.0,0,0.0,0.0,0,29.0,52.5,1,0
29.0,J3,13,42.97,0.0,0.0,0.0,0,0.0,0.0,0,29.0,30.0,0,0
29.0,J1,13,42.97,0.0,0.0,0.0,0,0.0,0.0,0,29.0,45.0,1,0
30.0,J2,13,43.33,0.0,0.0,0.0,0,0.0,0.0,0,30.0,52.5,1,0
30.0,J3,13,43.33,0.0,0.0,0.0,0,0.0,0.0,0,30.0,30.0,0,0
30.0,J1,13,43.33,0.0,0.0,0.0,0,0.0,0.0,0,30.0,45.0,1,0
31.0,J2,13,43.4,0.0,0.0,0.0,0,0.0,0.0,0,31.0,60.0,1,0
31.0,J3,13,43.4,0.0,0.0,0.0,0,0.0,0.0,0,31.0,30.0,0,0
31.0,J1,13,43.4,0.0,0.0,0.0,0,0.0,0.0,0,31.0,45.0,1,0
32.0,J2,15,44.3,0.0,0.0,0.0,0,0.0,0.0,0,32.0,60.0,1,0
32.0,J3,15,44.3,0.0,0.0,0.0,0,0.0,0.0,0,32.0,30.0,0,0
32.0,J1,15,44.3,0.0,0.0,0.0,0,0.0,0.0,0,32.0,45.0,1,0
33.0,J2,16,44.29,0.0,0.0,0.0,0,0.0,0.0,0,33.0,60.0,1,0
33.0,J3,16,44.29,0.0,0.0,0.0,0,0.0,0.0,0,33.0,30.0,0,0
33.0,J1,16,44.29,0.0,0.0,0.0,0,0.0,0.0,0,33.0,52.5,1,0
34.0,J2,16,43.98,0.0,0.0,0.0,0,0.0,0.0,0,34.0,60.0,1,0
34.0,J3,16,43.98,0.0,0.0,0.0,0,0.0,0.0,0,34.0,30.0,0,0
34.0,J1,16,43.98,0.0,0.0,0.0,0,0.0,0.0,0,34.0,52.5,1,0
35.0,J2,16,43.55,0.0,0.0,0.0,0,0.0,0.0,0,35.0,60.0,1,0
35.0,J3,16,43.55,0.0,0.0,0.0,0,0.0,0.0,0,35.0,30.0,0,0
35.0,J1,16,43.55,0.0,0.0,0.0,0,0.0,0.0,0,35.0,52.5,1,0
36.0,J2,16,44.04,0.0,0.0,0.0,0,0.0,0.0,0,36.0,67.5,1,0
36.0,J3,16,44.04,0.0,0.0,0.0,0,0.0,0.0,0,36.0,30.0,0,0
36.0,J1,16,44.04,0.0,0.0,0.0,0,0.0,0.0,0,36.0,52.5,1,0
37.0,J2,16,44.16,0.0,0.0,0.0,0,0.0,0.0,0,37.0,67.5,1,0
37.0,J3,16,44.16,0.0,0.0,0.0,0,0.0,0.0,0,37.0,30.0,0,0
37.0,J1,16,44.16,0.0,0.0,0.0,0,0.0,0.0,0,37.0,52.5,1,0
38.0,J2,17,43.66,0.0,0.0,0.0,0,0.0,0.0,0,38.0,67.5,1,0
38.0,J3,17,43.66,0.0,0.0,0.0,0,0.0,0.0,0,38.0,30.0,0,0
38.0,J1,17,43.66,0.0,0.0,0.0,0,0.0,0.0,0,38.0,60.0,1,0
39.0,J2,18,42.89,0.0,0.0,0.0,0,0.0,0.0,0,39.0,67.5,1,0
39.0,J3,18,42.89,0.0,0.0,0.0,0,0.0,0.0,0,39.0,30.0,0,0
39.0,J1,18,42.89,0.0,0.0,0.0,0,0.0,0.0,0,39.0,60.0,1,0
40.0,J2,20,42.76,0.0,0.0,0.0,0,0.0,0.0,0,40.0,67.5,1,0
40.0,J3,20,42.76,0.0,0.0,0.0,0,0.0,0.0,0,40.0,30.0,0,0
40.0,J1,20,42.76,0.0,0.0,0.0,0,0.0,0.0,0,40.0,67.5,1,0
41.0,J2,21,41.67,0.0,0.0,0.0,0,0.0,0.0,0,41.0,67.5,1,0
